Aca
Aćim
Adam
Aksentije
Aleksa
Aleksandar
Aleksej
Alen
Alimpije
Anđel
Anđelko
Andra
Andrej
Andreja
Andrija
Antonije
Aranđel
Arsen
Arsenije
Artur
Atanasije
Avakum
Avram
Adelina
Afrodita
Agnica
Aleksandra
Aleksija
Ana
Anastasija
Anda
Anđa
Anđela
Anđelija
Andjelina
Anđelka
Andrea
Andrijana
Angela
Angelina
Anica
Anita
Anja
Anka
Ankica
Antonina
Baja
Bajko
Bana
Bane
Bata
Beriša
Berisav
Biljan
Biserko
Blagina
Blagoje
Blagomir
Blagovan
Blaško
Blaža
Blažen
Boban
Bogdan
Bogić
Bogoje
Bogoljub
Bogosav
Bogoslav
Boin
Bojan
Bojin
Bojko
Boris
Boriša
Borisav
Borislav
Borivoj
Borivoje
Borko
Boro
Boško
Božidar
Božo
Brajan
Branimir
Branislav
Branivoje
Branko
Bratimir
Bratislav
Bratoljub
Bratovan
Brnča
Budimir
Budisav
Budislav 
Bela
Belka
Beloslava
Belunka
Biljana
Bisenija
Bisera
Biserka
Blagica
Blaginja
Blažena
Blaženka
Bogdana
Bogdanka
Boginja
Bogoslava
Bojana
Bojanka
Borika
Borisava
Borislava
Borjana
Borjanka
Borka
Bosa
Bosiljka
Božana
Božica
Božidarka
Božinka
Brana
Branimirka
Branislava
Branka
Brankica
Bratislava
Budimirka
Budimka
Budislava 
Cane
Časlav
Čedoljub
Čedomir
Ćetko
Ćile
Ćira
Ćirilo
Ćirjak
Ćiro
Čubrilo
Cveja
Cvejan
Cvetan
Cvetin
Cvetko
Cvetoje
Cvetomir
Cvetoš
Cvijan
Cvijetin
Cvijo
Cviko
Čarna
Čedomirka
Cmiljana
Cveta
Cvetana
Cvetanka
Cvija 
Dabiša
Dalibor
Damir
Damjan
Dane
Daniel
Danijel
Danilo
Danislav
Danko
Danojlo
Dario
Darjan
Darko
Daroslav
David
Davor
Dejan
Denis
Desimir
Despot
Dimitar
Dimitrije
Đenadije
Đorđe
Đorđije
Đuka
Đura
Đurađ
Đurašin
Đurđe
Đurica
Đuro
Dmitar
Dobrašin
Dobrica
Dobrilo
Dobrimir
Dobriša
Dobrivoje
Dobromir
Dobroslav
Dojčilo
Dojčin
Dorotej
Dragan
Dragić
Dragiša
Dragislav
Dragivoj
Drago
Dragoje
Dragoljub
Dragoman
Dragomil
Dragomir
Dragorad
Dragoš
Dragoslav
Dragovan
Dragutin
Draško
Draža
Dražen
Dražo
Dubravac
Dubravko
Dukadin
Dušan
Duško
Dafina
Daliborka
Damjana
Damjanka
Dana
Danica
Danijela
Danka
Danojla
Darija
Darina
Darinka
Darka
Davorka
Dejana
Desa
Desanka
Despina
Dijana
Dina
Divna
Đenadija
Đurđa
Đurđevka
Đurđica
Đurđija
Đurđinka
Dobra
Dobrija
Dobrila
Dobrina
Dobrinka
Dobrosava
Doroteja
Dragana
Dragica
Dragija
Draginja
Dragojla
Dragomira
Dragomirka
Dragoslava
Dragovanka
Dražeslava
Drena
Drenka
Drinka
Dubravka
Dunja
Dušana
Dušanka
Dušica
Emil
Emilijan
Emilije
Ervin
Evgenije
Ekaterina
Elena
Elma
Ema
Emilija
Eva
Evgenija
Evica 
Filip
Filotej
Filotije
Franjo
Fema
Filipa
Flora
Gabor
Gaja
Gajo
Gal
Gavra
Gavrilo
Genadije
Georgije
Gerasim
German
Gligorije
Godomir
Gojko
Golub
Goran
Gorčin
Gordan
Gorjan
Goroljub
Gostimir
Gostoljub
Grada
Gradimir
Gradiša
Grdan
Grgur
Grigorije
Grozdan
Gruban
Grubiša
Gruja
Gustav
Gvozden
Gvozdenko
Gabrijela
Gala
Gavrila
Gavrilka
Georgina
Goluba
Gorana
Gordana
Gorica
Gorjana
Gospava
Gradinka
Grlica
Grozda
Grozdana
Gvozdena
Gvozdenija
Haralampije
Hodislav
Hodoje
Hrabar
Hrabren
Hranac
Hranimir
Hraniša
Hranisav
Hranislav
Hranko
Hrastimir
Hristijan
Hristivoje
Hristoslav
Hval
Hvalimir
Hvalislav
Hvaloje 
Hana
Helena
Hranislava
Hristina
gnjat
Ignjatije
Igor
Ilija
Ilinko
Isaija
Isailo
Isak
Isidor
Iva
Ivan
Ivica
Ivo 
Ikonija
Ilinka
Irena
Irina
Isidora
Ivana
Ivanka
Ivka
Ivona
Izvorka
Jablan
Jadranko
Jakov
Jakša
Janićije
Janko
Janoš
Jaroslav
Jasen
Jasenko
Jasminko
Javor
Javorko
Jelen
Jelenko
Jelisav
Jeremija
Jerko
Jerotije
Jevrem
Jevtan
Jezdimir
Joakim
Joksim
Jordan
Josif
Josip
Jova
Jovan
Jovica
Jožef
Jugoljub
Jugomir
Jugoslav
Julijan
Junoša
Juriša
Justin 
Jablana
Jabuka
Jadranka
Jagoda
Jagodinka
Jana
Janja
Jasika
Jasmina
Jasminka
Jasna
Javorka
Jefimija
Jela
Jelena
Jelenka
Jelica
Jelisava
Jelisaveta
Jelisavka
Jelka
Jesenka
Jevrosima
Jordanka
Jorgovanka
Jovana
Jovanka
Jovka
Julija
Julijana
Kalin
Kamenko
Kazimir
Kirilo
Klaudije
Koča
Kojadin
Kokan
Kole
Konstantin
Kornelije
Kosta
Kostadin
Kovan
Koviljko
Kozma
Krasimir
Krasoje
Krešimir
Kristijan
Krsta
Krstimir
Krstivoje
Krsto
Krunislav
Kumodrag
Kuzman 
Kaća
Kadivka
Kajsija
Karanfila
Kata
Katarina
Katica
Kazimira
Klaudija
Kosa
Kosana
Kosara
Kosovka
Kostadinka
Koštana
Košuta
Koviljka
Krasna
Kristina
Krstana
Kruna
Krunoslava
Ksenija
Kupina
Labud
Lale
Lav
Laza
Lazar
Lazo
Leon
Lepoje
Lepomir
Leposav
Leposlav
Ležimir
Ljiljan
Ljuban
Ljubenko
Ljubibrat
Ljubimir
Ljubinko
Ljubiša
Ljubisav
Ljubislav
Ljubivoje
Ljubobrat
Ljubodrag
Ljuboje
Ljubomir
Ljuboslav
Ljupko
Ljutimir
Lugomir
Lujo
Luka 
Labuda
Lala
Lana
Lara
Latinka
Lea
Lena
Lenka
Leonida
Leonora
Lepa
Leposava
Lidija
Lilijana
Liza
LJerka
Ljilja
Ljiljana
Ljubica
LJubinka
LJubislava
LJubomirka
Ljubosava
LJuboslava
Ljupka
Lovorka
Luna 
Mahailo
Makarije
Maksim
Mališa
Manojlo
Marin
Marinko
Mario
Marjan
Marko
Martin
Mašan
Mate
Mateja
Matija
Melentije
Mića
Mićan
Mida
Mihailo
Mihajlo
