Abadžić
Abadžija
Abdulić
Abović
Abramić
Abramović
Abranović
Abrašević
Abutović
Abazović
Ačanski
Acić
Aćimac
Aćimić
Aćimov
Aćimovac
Aćimović
Aćin
Acković
Acović
Acamović
Adam
Adamac
Adamić
Adamov
Adamović
Ađanski
Adnađević
Adamović
Adašević
Adžić
Adžović
Agatonović
Agbaba
Agočević
Aguridić
Agatonović
Ajdačić
Ajder
Ajdin
Ajdinović
Ajdučić
Ajduk
Ajduković
Ajvaz
Ajvazović
Akifović
Akšam
Aksentić
Aksentijević
Aksić
Aksin
Aksović
Aladić
Alargić
Alavanja
Alavantić
Alavuk
Albijanić
Albunović
Aleksandrić
Aleksandrov
Aleksendrić
Aleksić
Aleksijević
Aleksin
Aleksandrović
Alempijević
Alfirević
Aličić
Alimpić
Alimpijević
Aljančić
Alković
Alparac
Aluga
Alurac
Alurović
Alvirović
Alaković
Alanović
Alavuković
Ambulija
Amidžić
Amanović
Ananić
Andan
Andić
Anđelić
Anđelkov
Anđelković
Anđelović
Anđić
Anđus
Anđušević
Anđušić
Andonov
Andonović
Andrejević
Andrejić
Andrejin
Andrić
Andrijanić
Andrijević
Andrijin
Andrijašević
Andrin
Androbić
Andrašević
Andulajević
Anić
Aničić
Aničin
Anikić
Anisijević
Ankić
Anojčić
Anokić
Anović
Antelj
Antešević
Antić
Antin
Antonić
Antonijev
Antonijević
Antonović
Antović
Antovski
Antuljeskov
Antunović
Antušević
Anučin
Anušić
Anastasijević
Aparac
Apelić
Apić
Apostolović
Apatović
Aracki
Arađanin
Arađanski
Aradski
Aralica
Arambašić
Aranicki
Arbinja
Arbutina
Arčaba
Ardalić
Arežina
Aritonović
Arivuković
Arizanović
Arkula
Arlov
Armacki
Armaković
Arnaut
Arnautović
Arnovljev
Arnovljević
Arnautović
Arsa
Arsekić
Arsenić
Arsenijević
Arsenin
Arsenov
Arsenović
Arsić
Arsikin
Arsin
Arsović
Arula
Arunović
Aranđelović
Aranitović
Ašanin
Ašćerić
Ašković
Aškraba
Aškrabić
Ašonja
Asanović
Atanackov
Atanasković
Ateljević
Atlagić
Atlija
Atanacković
Atanasijević
Atanasković
Atanasović
Avalić
Avdulić
Avdalović
Avram
Avramov
Avramović
Avrić
Avramović
Avakumović
Azanjac
Azarić
Azdejković 
Babac
Babalj
Babarogić
Babić
Babin
Babović
Babuškov
Bačanac
Bačanin
Bacetić
Bačevac
Bačević
Bačić
Bačikin
Baćina
Baćinac
Backić
Bačko
Bačkonja
Backović
Bačkulić
Bačkulja
Bačujkov
Bačunić
Bačvanin
Bačvanski
Badanjac
Badivuk
Badnjar
Badrić
Badrljica
Badrljički
Badža
Badžoka
Bajac
Bajagić
Bajalica
Bajalo
Bajandić
Bajandolac
Bajat
Bajčeta
Bajčetić
Bajčev
Bajčić
Bajić
Bajičić
Bajilo
Bajin
Bajkić
Bajkin
Bajšanski
Bakajac
Bakić
Bakmaz
Bakoč
Bakovljev
Bakrač
Bakula
Bakurski
Balaban
Balać
Baletić
Balinovac
Balj
Baljak
Balorda
Balotić
Balšić
Balta
Baltić
Balzamović
Bamburać
Bandić
Banđur
Bandobranski
Banduka
Banić
Banjac
Banjak
Banjalić
Banjanac
Banjanin
Banjeglav
Bankovački
Banković
Banovac
Banovački
Banovčanin
Bantulić
Banzić
Barać
Baračanin
Baračkov
Barajevac
Baralić
Baranac
Baranin
Barašin
Barbarez
Barbir
Barbul
Barbulj
Barbulov
Baredna
Baretić
Barić
Baričanin
Barišić
Barjaktar
Barlov
Barlovac
Baroš
Baroševčić
Barovnica
Bartoš
Bartula
Barudžija
Barvalac
Barzut
Baša
Basalo
Basara
Basarić
Bašić
Basor
Basrak
Basta
Bastaja
Bastajić
Baštanin
Bastašić
Baštić
Baštinac
Baštovanov
Basurić
Batak
Batalo
Batalov
Batančev
Batanjac
Batanjski
Batar
Batas
Bataveljić
Bataz
Bates
Batez
Batica
Batina
Batinac
Batinar
Batinić
Batinica
Batnoga
Batnožić
Batoćanin
Batos
Batovac
Batoz
Baturan
Baucalo
Bauk
